#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,PLATFORM
1,National Geographic @natgeo,4.9M,0.37%,United States,Nature Photography Documentary Education,Threads
2,Jennifer Lopez @jlo,3.9M,0.33%,United States,Entertainment and Music Celebrity Lifestyle Public Figure,Threads
3,433 @433,3.8M,0.3%,Netherlands,Sports Soccer Football News,Threads
4,Ronaldo de Assis Moreira @ronaldinho,3M,0.6%,Brazil,Sports Soccer Football Athlete Public Figure,Threads
5,Pubity @pubity,2.8M,0.24%,United States,Entertainment and Music News Viral Content,Threads
6,Anitta @anitta,2.5M,0.8%,Brazil,Entertainment and Music Singer Celebrity Latin Music,Threads
7,Fabrizio Romano @fabriziorom,2.5M,0.15%,Italy,Sports Soccer Football News Journalism,Threads
8,Manchester City @mancity,2.5M,0.52%,United Kingdom,Sports Soccer Football Sports Team,Threads
9,Virginia Fonseca Costa @virginia,2.3M,0.11%,Brazil,Lifestyle Fashion and Accessories Influencer Content Creator,Threads
10,Vogue @voguemagazine,2.2M,0.14%,United States,Fashion and Accessories Lifestyle Magazine Media,Threads
11,Camila Cabello @camila_cabello,2.1M,-,United States,Entertainment and Music Singer Celebrity Pop Music,Threads
12,Richarlison @richarlison,2M,0.54%,Brazil,Sports Soccer Football Athlete,Threads
13,Netflix Latinoamérica @netflixlat,1.8M,0.21%,Chile,Entertainment and Music Streaming Media Latin America,Threads
14,CHOQUEI @choquei,1.8M,0.15%,Brazil,Entertainment and Music News Media Content,Threads
