#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,PLATFORM
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,0.2%,India,Music Entertainment Media Production Record Label Bollywood,YouTube
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,0.15%,United States,Kids Education Entertainment Animation Learning Content,YouTube
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,0.12%,India,Entertainment and Music TV Shows Media Production Drama Content,YouTube
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111M,0.1%,United Kingdom,Gaming Entertainment Content Creator Commentary Influencer,YouTube
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100M,2.4%,United States,Entertainment and Music Challenges Philanthropy Content Creator,YouTube
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97.3M,0.2%,United States,Kids Entertainment Family Content Educational Content,YouTube
7,Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,0.18%,United States,Kids Entertainment Toys Educational Content Family,YouTube
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,0.12%,India,Music Entertainment Media Production Record Label Bollywood,YouTube
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,0.3%,United States,Sports Wrestling Entertainment Professional Wrestling Media,YouTube
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,0.25%,United States,Kids Entertainment Family Content Educational Content,YouTube
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.4%,South Korea,Entertainment and Music K-pop Music Group Celebrity,YouTube
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,0.1%,India,Movies Entertainment Music Media Production Content,YouTube
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,0.3%,Canada,Entertainment and Music Singer Celebrity Pop Music,YouTube
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,0.1%,India,Entertainment TV Shows Comedy Media Production Content,YouTube
